中文句子,泰文,羅馬拼音,課文
那本書是否你的？,หนังสือเล่มนั้นของคุณใช่ไหม,nang seu lem nan khong khun chai mai,3
我將會行去。,ฉันจะเดินไป,chan ja dern pai,3
昨天我在書局買。,เมื่อวานฉันซื้อที่ร้านหนังสือ,meua wan chan seu thi ran nang seu,3
我喜歡看中國電影。,ผมชอบดูหนังจีน,phom chop du nang jin,3
那是甚麼？,นั่นคืออะไร,nan kheu a rai,3
這是學生的習作。,สมุดของนักเรียน,sa mut khong nak rian,3
我不喜歡吃小點心。,ผมไม่ชอบกินขนม,phom mai chop than kha nom,3
下午我要買手信。,ตอนบ่ายฉันจะไปซื้อของฝาก,ton bai chan ja seu khong fak,3
我的朋友由泰國回來。,เพื่อนของผมกลับมาจากเมืองไทย,phuean khong phom klap ma jak meuang thai,3
哥哥今天不會去工作。,พี่วันนี้จะไม่ไปทำงาน,phi wan nee phi mai pai tham ngan,3
現在媽媽在喝水。,ตอนนี้แม่ดื่มน้ำอยู่,don nee mae gin nam yu,3
為什麼爸爸今天不看電視？,ทำไมวันนี้พ่อไม่ดูทีวี,tham mai wan nee por mai du thi wi,3
今天媽媽不吃雞,วันนี้แม่ไม่กินไก่,wan nee mae mai gin/ than gai,3
現在哥哥不看電視,ตอนนี้พี่ไม่ดูทีวี,don nee phi mai du thi wi,3
爸爸將會去爺爺的家,พ่อจะไปบ้านของปู่,por ja bai ban khong pu,3
你喜歡吃小食嗎？,คุณชอบกินขนมไหม,khun chop gin khanom mai,3
他在街市賣東西,เขาขายของที่ตลาด,khao khai khong thi ta lat,3
這是手信,นี่คือของฝาก,ni keu khong fak,3
我將會去找朋友,ฉันจะไปหาเพื่อน,chan ja pai ha phuean,3
我們在泰國餐廳見面,เราเจอกันที่ร้านอาหารไทย,rao jer kan thi ran a han thai,3
你真的很喜歡看書,คุณชอบอ่านหนังสือจริงๆ,khun chop an nang seu jing jing,3
你喜歡看泰國電影嗎？,คุณชอบดูหนังไทยไหม,khun chop du nang thai mai,3
你要去哪裡？,คุณจะไปไหนครับ,khun ja pai nai khrap,3
我將會去學校。,ฉันจะไปโรงเรียนค่ะ,chan ja pai rong rian kha,3
你是老師嗎？,คุณเป็นครูใช่ไหมครับ,khun pen khru chai mai khrap,1
是的。,ใช่ค่ะ,chai kha,1
這是甚麼？,นี่คืออะไรครับ,ni keu a rai khrap,2
這是習作。,นี่คือสมุดค่ะ,ni keu sa mut kha,2
是誰的習作？,สมุดของใครครับ,sa mut khong khrai khrap,2
是學生的習作，我先去工作再見,สมุดของนักเรียนค่ะ ฉันไปทำงานก่อน แล้วเจอกันค่ะ,sa mut khong nak rian kha chan pai tham ngan kon lew lew jer kan kha,3
再見。,แล้วเจอกันครับ,lew jer kan khrap,3
你何時去買東西？,เมื่อไหร่คุณจะไปซื้อของครับ,meua rai khun ja pai seu khong khrap,3
你會去哪裡買？,คุณจะไปซื้อที่ไหนครับ,khun ja pai seu thi nai khrap,3
